PKGNAME|PKGCATEGORY|AUTOSWITCH|INSTALLTYPE|PKGDESCRIPTION
kblocks|games|Y|s|kblocks tetris style game.
tuxpaint|games|Y|s|Tux paint game for kids.
steam|games|Y|c|Linux gaming engine/app for professional players.
supertux|games|Y|s|SuperTux Karting Racer Game.
ktuberling|games|Y|s|Make Nice pictures for Kids.
chromium-bsu|games|Y|s|Intergalactic shooting spaceship game!
@xfce-desktop|tools|Y|s|
@kde-desktop|tools|Y|s|
xpdf|tools|Y|s|
qbittorrent|tools|Y|s|
terminator|tools|Y|s|
gnome-tweak-tool|tools|Y|s|
lsb|tools|Y|s|
libXScrnSaver|tools|Y|s|
liberation-fonts|tools|Y|s|
libappindicator-gtk3|tools|Y|s|
google-chrome|tools|Y|c|Google Chrome browser for Linux workstation.
adobe-pdf-reader|tools|Y|c|Adobe acrobat reader for Linux Workstation.
atk.i686|tools|Y|s|
pangox-compat|tools|Y|s|
pangox-compat.i686|tools|Y|s|
gdk-pixbuf2.i686|tools|Y|s|
gtk2.i686|tools|Y|s|
libidn.i686|tools|Y|s|
libXt.i686|tools|Y|s|
gdk-pixbuf2-xlib|tools|Y|s|
gdk-pixbuf2-xlib.i686|tools|Y|s|
mesa-libGLU|tools|Y|s|
mesa-libGLU.i686|tools|Y|s|
libcanberra-gtk2.i686|tools|Y|s| 
adwaita-gtk2-theme.i686|tools|Y|s| 
PackageKit-gtk3-module.i686|tools|Y|s|
pdfmod|tools|Y|s|
flash-plugin|tools|Y|c|Adobe Flash plugin for Linux/video/browsers.
dosbox|tools|Y|s|
livecd-tools|tools|Y|s|
liveusb-creator|tools|Y|s|
glade|tools|Y|s|
glade3|tools|Y|s|
pygtk2-libglade|tools|Y|s|
switchdesk|tools|Y|s|
switchdesk-gui|tools|Y|s|
alien|tools|Y|s|
tilix|tools|Y|s|
xterm|tools|Y|s|
yakuake|tools|Y|s|
lilyterm|tools|Y|s|
chromium|tools|Y|s|
shellinabox|tools|Y|s|
roxterm|tools|Y|s|
gftp|tools|Y|s|
mediawiki|tools|Y|s|
bison|tools|Y|s|
mariadb|tools|Y|s|
mailcap|tools|Y|s|
mysql-server|tools|Y|s|
mysql|tools|Y|s|
php-mysqlnd|tools|Y|s|
mod_ssl|tools|Y|s|
spotify|tools|Y|c|Spotify Linux Music Client.
pidgin|tools|Y|s|
VirtualBox-6.0|tools|Y|c|Virtual Box open source alternative for VMWare virtualization machines.
@development-tools|tools|Y|s|
kernel-devel|tools|Y|s|
kernel-headers|tools|Y|s|
dkms|tools|Y|s|
qt5-qtx11extras|tools|Y|s|
elfutils-libelf-devel|tools|Y|s|
zlib-devel|tools|Y|s|
keepassx|tools|Y|s|
sugar-stopwatch|tools|Y|s|
pan|tools|Y|s|
p7zip|tools|Y|s|
pdfshuffler|tools|Y|s|
shutter|tools|Y|s|
filezilla|tools|Y|s|
gparted|tools|Y|s|
aescrypt|tools|Y|c|AES Encryption command line tool for Linux.
menulibre|tools|Y|s|
docker-ce|tools|Y|c|Docker Container Manager for Fedora Linux Workstation.
geogebra|tools|Y|c|Geogebra Study Tool for Linux.
hplip xsane sane|tools|Y|s|
hplip|tools|Y|s|
PyQt5 PyQt4|tools|Y|s|
hplip-gui|tools|Y|s|
python-qt4|tools|Y|s|
python-qt5|tools|Y|s|
chrome-gnome-shell|tools|Y|s|
seahorse|tools|Y|s|
pv|tools|Y|s|
dropbox|tools|Y|c|
smartmontools|tools|Y|s|
k3b|tools|Y|s|
ExpanDrive|tools|Y|c|ExpanDrive Cloud Drive Mounting software.
vinagre|tools|Y|s|
setroubleshoot|tools|Y|s|
calibre|tools|Y|s|
blivet-gui|tools|Y|s|
dislocker|tools|Y|s|
sysstat|tools|Y|s|
valgrind|tools|Y|s|
valgrind.i686|tools|Y|s|
svn|tools|Y|s|
mod_dav_svn|tools|Y|s|
git|tools|Y|s|
rlwrap|tools|Y|s|
strace|tools|Y|s|
gitg|tools|Y|s|
gradle|tools|Y|s|
ElectricFence|tools|Y|s|
scons|tools|Y|s|
vim|tools|Y|s|
gvim|tools|Y|s|
emacs|tools|Y|s|
sublime-text-editor|tools|Y|c|SubLime Text Editor for Fedora Linux Workstation
atom-ide-editor|tools|Y|c|Atom Linux IDE editor. Powerful ide for developers.
